player,goal_involvement(goals + assists),goals,assists,minutes_played,games_played,minutes_per_goal_involvement,games_per_goal_involvement,minutes_per_goal,games_per_assist
Ollie Watkins,10.0,8.0,2.0,1079,12,107.9,1.2,134.9,6.0
Jamie Vardy,8.0,8.0,0.0,1001,12,125.1,1.5,125.1,inf
Heung-min Son,8.0,6.0,2.0,807,10,100.9,1.2,134.5,5.0
Matheus Pereira,8.0,3.0,5.0,747,10,93.4,1.2,249.0,2.0
Sadio Mané,7.0,4.0,3.0,816,10,116.6,1.4,204.0,3.3
Jack Grealish,7.0,2.0,5.0,703,8,100.4,1.1,351.5,1.6
Ilkay Gündogan,6.0,5.0,1.0,548,8,91.3,1.3,109.6,8.0
Michail Antonio,6.0,4.0,2.0,652,8,108.7,1.3,163.0,4.0
Bertrand Traoré,6.0,3.0,3.0,759,11,126.5,1.8,253.0,3.7
Harry Kane,6.0,3.0,3.0,765,9,127.5,1.5,255.0,3.0
James Ward-Prowse,6.0,2.0,4.0,1080,12,180.0,2.0,540.0,3.0
Danny Ings,5.0,5.0,0.0,674,9,134.8,1.8,134.8,inf
David McGoldrick,5.0,5.0,0.0,722,12,144.4,2.4,144.4,inf
Mohamed Salah,5.0,5.0,0.0,872,10,174.4,2.0,174.4,inf
Gylfi Sigurdsson,5.0,4.0,1.0,730,12,146.0,2.4,182.5,12.0
Raheem Sterling,5.0,4.0,1.0,828,10,165.6,2.0,207.0,10.0
Roberto Firmino,5.0,4.0,1.0,845,10,169.0,2.0,211.2,10.0
Dominic Calvert-Lewin,5.0,3.0,2.0,837,10,167.4,2.0,279.0,5.0
James Maddison,5.0,3.0,2.0,707,11,141.4,2.2,235.7,5.5
Trent Alexander-Arnold,5.0,1.0,4.0,873,10,174.6,2.0,873.0,2.5
Callum Robinson,4.0,4.0,0.0,490,8,122.5,2.0,122.5,inf
Diogo Jota,4.0,4.0,0.0,231,5,57.8,1.2,57.8,inf
Stuart Dallas,4.0,4.0,0.0,1080,12,270.0,3.0,270.0,inf
Leandro Trossard,4.0,3.0,1.0,814,12,203.5,3.0,271.3,12.0
Patrick Bamford,4.0,3.0,1.0,941,12,235.2,3.0,313.7,12.0
Che Adams,4.0,2.0,2.0,872,11,218.0,2.8,436.0,5.5
Jesse Lingard,4.0,2.0,2.0,360,4,90.0,1.0,180.0,2.0
John McGinn,4.0,2.0,2.0,1080,12,270.0,3.0,540.0,6.0
